run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
gemdexw7,dirichlet,-1,,0.1,1000,21026,1644845979,0.853,7199.4287109375,140741.625,735275.4375,{'runtime': 21027},999,0.8698,141031.671875,350,0.1
y6hdvc7d,dirichlet,-1,,0.1,1000,21233,1644846182,0.8856,4009.106201171875,185148.375,974387.5625,{'runtime': 21235},999,0.8996,185446.078125,350,0.01
zzg2drki,dirichlet,-1,,0.1,1000,21073,1644845802,0.8849,5149.08251953125,231666.375,1274036.125,{'runtime': 21074},999,0.9068,230121.828125,350,0.001
kh2pq3e8,dirichlet,-1,,0.1,1000,21191,1644845768,0.8756,7461.82958984375,292627.34375,1354319.25,{'runtime': 21192},999,0.8969,291174.46875,350,0.0001
2ocot3pd,dirichlet,-1,,0.1,1000,21210,1644845777,0.8657,9755.7607421875,359730.8125,1391060.5,{'runtime': 21212},999,0.8894,356649.59375,350,1e-05
aqo6n0zq,dirichlet,-1,,0.1,1000,21224,1644845769,0.8652,11899.6474609375,429078.21875,1389931.125,{'runtime': 21224},999,0.8887,424580.5625,350,1e-06
h7mfoek7,dirichlet,-1,,0.0,1000,21258,1644845760,0.8654,6402.27099609375,139637.0,692301.6875,{'runtime': 21259},999,0.8818,139766.640625,350,0.1
ab11e3pu,dirichlet,-1,,0.0,1000,21143,1644834338,0.9025,3524.528076171875,179958.625,840651.125,{'runtime': 21143},999,0.9148,180404.953125,350,0.01
sedkb7h3,dirichlet,-1,,0.0,1000,21287,1644821319,0.9108,4616.01171875,217941.09375,953286.9375,{'runtime': 21288},999,0.9212,217899.859375,350,0.001
w4uwbe0v,dirichlet,-1,,0.0,1000,21102,1644820651,0.9166,5659.02294921875,252280.796875,1012990.3125,{'runtime': 21103},999,0.9269,252782.234375,350,0.0001
amm3sa3f,dirichlet,-1,,0.0,1000,21124,1644820428,0.9208,8028.07958984375,335246.96875,1102788.25,{'runtime': 21124},999,0.9288,332163.25,350,1e-06
qum66fdr,dirichlet,-1,,0.0,1000,20915,1644820219,0.9192,6873.7509765625,290287.96875,1041606.4375,{'runtime': 20916},999,0.9273,291617.1875,350,1e-05
5z5ceimi,dirichlet,-2,,0.8,1000,21223,1644955010,0.4054,25093.017578125,757113.0625,3949082.25,{'runtime': 21225},999,0.4734,754780.8125,350,1e-05
fjx5vybc,dirichlet,-3,,0.8,1000,21222,1644955009,0.3945,25847.494140625,761084.5625,3763550.5,{'runtime': 21224},999,0.4599,761391.8125,350,1e-05
n4l5p4vl,dirichlet,-3,,0.8,1000,21320,1644955107,0.35,33962.4453125,980508.6875,4379201.0,{'runtime': 21321},999,0.4168,975132.125,350,1e-06
46f8riht,dirichlet,-2,,0.8,1000,21146,1644954924,0.3542,31840.744140625,971092.5,4702136.0,{'runtime': 21147},999,0.4237,961467.8125,350,1e-06
35zwj92h,dirichlet,-3,,0.5,1000,21404,1644954695,0.7439,12361.822265625,153267.28125,893075.5625,{'runtime': 21405},999,0.7714,153666.171875,350,0.1
